id,id_index,kode_provinsi,nama_provinsi,periode_update,penyakit,kategori,jumlah,satuan,tahun
38,76,35,JAWA TIMUR,2021-02,SUSPEK ANTRAX,RAWAT INAP,0,KASUS,2021
39,77,35,JAWA TIMUR,2021-02,SUSPEK LEPTOSPIROSIS,IGD,0,KASUS,2021
39,78,35,JAWA TIMUR,2021-02,SUSPEK LEPTOSPIROSIS,RAWAT INAP,0,KASUS,2021
40,79,35,JAWA TIMUR,2021-02,SUSPEK KOLERA,IGD,0,KASUS,2021
40,80,35,JAWA TIMUR,2021-02,SUSPEK KOLERA,RAWAT INAP,0,KASUS,2021
41,81,35,JAWA TIMUR,2021-02,KLUSTER PENYAKIT YANG TIDAK LAZIM,IGD,0,KASUS,2021
41,82,35,JAWA TIMUR,2021-02,KLUSTER PENYAKIT YANG TIDAK LAZIM,RAWAT INAP,0,KASUS,2021
42,83,35,JAWA TIMUR,2021-02,SUSPEK MENINGITIS/ENCEPHALITIS,IGD,0,KASUS,2021
42,84,35,JAWA TIMUR,2021-02,SUSPEK MENINGITIS/ENCEPHALITIS,RAWAT INAP,0,KASUS,2021
43,85,35,JAWA TIMUR,2021-02,SUSPEK TETANUS NEONATORUM,IGD,0,KASUS,2021
43,86,35,JAWA TIMUR,2021-02,SUSPEK TETANUS NEONATORUM,RAWAT INAP,0,KASUS,2021
44,87,35,JAWA TIMUR,2021-02,SUSPEK TETANUS,IGD,0,KASUS,2021
44,88,35,JAWA TIMUR,2021-02,SUSPEK TETANUS,RAWAT INAP,0,KASUS,2021
45,89,35,JAWA TIMUR,2021-02,ILI (PENYAKIT SERUPA INFLUENZA),IGD,0,KASUS,2021
45,90,35,JAWA TIMUR,2021-02,ILI (PENYAKIT SERUPA INFLUENZA),RAWAT INAP,0,KASUS,2021
46,91,35,JAWA TIMUR,2021-02,SUSPEK HFMD (HAND FOOT MOUTH DISEASE),IGD,0,KASUS,2021
46,92,35,JAWA TIMUR,2021-02,SUSPEK HFMD (HAND FOOT MOUTH DISEASE),RAWAT INAP,0,KASUS,2021
47,93,35,JAWA TIMUR,2021-03,DIARE AKUT,IGD,39,KASUS,2021
47,94,35,JAWA TIMUR,2021-03,DIARE AKUT,RAWAT INAP,34,KASUS,2021
48,95,35,JAWA TIMUR,2021-03,MALARIA KONFIRMASI,IGD,0,KASUS,2021
48,96,35,JAWA TIMUR,2021-03,MALARIA KONFIRMASI,RAWAT INAP,0,KASUS,2021
49,97,35,JAWA TIMUR,2021-03,SUSPEK DENGUE,IGD,7,KASUS,2021
49,98,35,JAWA TIMUR,2021-03,SUSPEK DENGUE,RAWAT INAP,12,KASUS,2021
50,99,35,JAWA TIMUR,2021-03,PNEMONIA,IGD,22,KASUS,2021
50,100,35,JAWA TIMUR,2021-03,PNEMONIA,RAWAT INAP,7,KASUS,2021
51,101,35,JAWA TIMUR,2021-03,DIARE BERDARAH/ DISENTRI,IGD,0,KASUS,2021
51,102,35,JAWA TIMUR,2021-03,DIARE BERDARAH/ DISENTRI,RAWAT INAP,0,KASUS,2021
52,103,35,JAWA TIMUR,2021-03,SUSPEK DEMAM TIFOID,IGD,2,KASUS,2021
52,104,35,JAWA TIMUR,2021-03,SUSPEK DEMAM TIFOID,RAWAT INAP,1,KASUS,2021
53,105,35,JAWA TIMUR,2021-03,SINDROM JAUNDICE AKUT,IGD,21,KASUS,2021
53,106,35,JAWA TIMUR,2021-03,SINDROM JAUNDICE AKUT,RAWAT INAP,1,KASUS,2021
54,107,35,JAWA TIMUR,2021-03,SUSPEK CHIKUNGUNYA,IGD,0,KASUS,2021
54,108,35,JAWA TIMUR,2021-03,SUSPEK CHIKUNGUNYA,RAWAT INAP,0,KASUS,2021
55,109,35,JAWA TIMUR,2021-03,SUSPEK FLU BURUNG PADA MANUSIA,IGD,0,KASUS,2021
55,110,35,JAWA TIMUR,2021-03,SUSPEK FLU BURUNG PADA MANUSIA,RAWAT INAP,0,KASUS,2021
56,111,35,JAWA TIMUR,2021-03,SUSPEK CAMPAK,IGD,0,KASUS,2021
56,112,35,JAWA TIMUR,2021-03,SUSPEK CAMPAK,RAWAT INAP,0,KASUS,2021
57,113,35,JAWA TIMUR,2021-03,SUSPEK DIFTERI,IGD,0,KASUS,2021
57,114,35,JAWA TIMUR,2021-03,SUSPEK DIFTERI,RAWAT INAP,0,KASUS,2021
58,115,35,JAWA TIMUR,2021-03,PERTUSSIS,IGD,0,KASUS,2021
58,116,35,JAWA TIMUR,2021-03,PERTUSSIS,RAWAT INAP,0,KASUS,2021
59,117,35,JAWA TIMUR,2021-03,ACUTE FLACID PARALYSIS (AFP),IGD,0,KASUS,2021
59,118,35,JAWA TIMUR,2021-03,ACUTE FLACID PARALYSIS (AFP),RAWAT INAP,0,KASUS,2021
60,119,35,JAWA TIMUR,2021-03,GIGITAN HEWAN PENULAR RABIES,IGD,0,KASUS,2021
60,120,35,JAWA TIMUR,2021-03,GIGITAN HEWAN PENULAR RABIES,RAWAT INAP,0,KASUS,2021
61,121,35,JAWA TIMUR,2021-03,SUSPEK ANTRAX,IGD,0,KASUS,2021
61,122,35,JAWA TIMUR,2021-03,SUSPEK ANTRAX,RAWAT INAP,0,KASUS,2021
62,123,35,JAWA TIMUR,2021-03,SUSPEK LEPTOSPIROSIS,IGD,0,KASUS,2021
62,124,35,JAWA TIMUR,2021-03,SUSPEK LEPTOSPIROSIS,RAWAT INAP,0,KASUS,2021
63,125,35,JAWA TIMUR,2021-03,SUSPEK KOLERA,IGD,0,KASUS,2021
63,126,35,JAWA TIMUR,2021-03,SUSPEK KOLERA,RAWAT INAP,0,KASUS,2021
64,127,35,JAWA TIMUR,2021-03,KLUSTER PENYAKIT YANG TIDAK LAZIM,IGD,0,KASUS,2021
64,128,35,JAWA TIMUR,2021-03,KLUSTER PENYAKIT YANG TIDAK LAZIM,RAWAT INAP,0,KASUS,2021
65,129,35,JAWA TIMUR,2021-03,SUSPEK MENINGITIS/ENCEPHALITIS,IGD,0,KASUS,2021
65,130,35,JAWA TIMUR,2021-03,SUSPEK MENINGITIS/ENCEPHALITIS,RAWAT INAP,0,KASUS,2021
66,131,35,JAWA TIMUR,2021-03,SUSPEK TETANUS NEONATORUM,IGD,0,KASUS,2021
66,132,35,JAWA TIMUR,2021-03,SUSPEK TETANUS NEONATORUM,RAWAT INAP,0,KASUS,2021
67,133,35,JAWA TIMUR,2021-03,SUSPEK TETANUS,IGD,0,KASUS,2021
67,134,35,JAWA TIMUR,2021-03,SUSPEK TETANUS,RAWAT INAP,0,KASUS,2021
68,135,35,JAWA TIMUR,2021-03,ILI (PENYAKIT SERUPA INFLUENZA),IGD,0,KASUS,2021
68,136,35,JAWA TIMUR,2021-03,ILI (PENYAKIT SERUPA INFLUENZA),RAWAT INAP,0,KASUS,2021
69,137,35,JAWA TIMUR,2021-03,SUSPEK HFMD (HAND FOOT MOUTH DISEASE),IGD,0,KASUS,2021
69,138,35,JAWA TIMUR,2021-03,SUSPEK HFMD (HAND FOOT MOUTH DISEASE),RAWAT INAP,0,KASUS,2021
70,139,35,JAWA TIMUR,2021-04,DIARE AKUT,IGD,32,KASUS,2021
70,140,35,JAWA TIMUR,2021-04,DIARE AKUT,RAWAT INAP,24,KASUS,2021
71,141,35,JAWA TIMUR,2021-04,MALARIA KONFIRMASI,IGD,0,KASUS,2021
71,142,35,JAWA TIMUR,2021-04,MALARIA KONFIRMASI,RAWAT INAP,0,KASUS,2021
72,143,35,JAWA TIMUR,2021-04,SUSPEK DENGUE,IGD,8,KASUS,2021
72,144,35,JAWA TIMUR,2021-04,SUSPEK DENGUE,RAWAT INAP,17,KASUS,2021
73,145,35,JAWA TIMUR,2021-04,PNEMONIA,IGD,8,KASUS,2021
73,146,35,JAWA TIMUR,2021-04,PNEMONIA,RAWAT INAP,2,KASUS,2021
74,147,35,JAWA TIMUR,2021-04,DIARE BERDARAH/ DISENTRI,IGD,0,KASUS,2021
74,148,35,JAWA TIMUR,2021-04,DIARE BERDARAH/ DISENTRI,RAWAT INAP,0,KASUS,2021
75,149,35,JAWA TIMUR,2021-04,SUSPEK DEMAM TIFOID,IGD,2,KASUS,2021
75,150,35,JAWA TIMUR,2021-04,SUSPEK DEMAM TIFOID,RAWAT INAP,4,KASUS,2021
76,151,35,JAWA TIMUR,2021-04,SINDROM JAUNDICE AKUT,IGD,28,KASUS,2021
76,152,35,JAWA TIMUR,2021-04,SINDROM JAUNDICE AKUT,RAWAT INAP,2,KASUS,2021
77,153,35,JAWA TIMUR,2021-04,SUSPEK CHIKUNGUNYA,IGD,0,KASUS,2021
77,154,35,JAWA TIMUR,2021-04,SUSPEK CHIKUNGUNYA,RAWAT INAP,0,KASUS,2021
78,155,35,JAWA TIMUR,2021-04,SUSPEK FLU BURUNG PADA MANUSIA,IGD,0,KASUS,2021
78,156,35,JAWA TIMUR,2021-04,SUSPEK FLU BURUNG PADA MANUSIA,RAWAT INAP,0,KASUS,2021
79,157,35,JAWA TIMUR,2021-04,SUSPEK CAMPAK,IGD,0,KASUS,2021
79,158,35,JAWA TIMUR,2021-04,SUSPEK CAMPAK,RAWAT INAP,0,KASUS,2021
80,159,35,JAWA TIMUR,2021-04,SUSPEK DIFTERI,IGD,0,KASUS,2021
80,160,35,JAWA TIMUR,2021-04,SUSPEK DIFTERI,RAWAT INAP,0,KASUS,2021
81,161,35,JAWA TIMUR,2021-04,PERTUSSIS,IGD,0,KASUS,2021
81,162,35,JAWA TIMUR,2021-04,PERTUSSIS,RAWAT INAP,0,KASUS,2021
82,163,35,JAWA TIMUR,2021-04,ACUTE FLACID PARALYSIS (AFP),IGD,0,KASUS,2021
82,164,35,JAWA TIMUR,2021-04,ACUTE FLACID PARALYSIS (AFP),RAWAT INAP,0,KASUS,2021
83,165,35,JAWA TIMUR,2021-04,GIGITAN HEWAN PENULAR RABIES,IGD,0,KASUS,2021
83,166,35,JAWA TIMUR,2021-04,GIGITAN HEWAN PENULAR RABIES,RAWAT INAP,0,KASUS,2021
84,167,35,JAWA TIMUR,2021-04,SUSPEK ANTRAX,IGD,0,KASUS,2021
84,168,35,JAWA TIMUR,2021-04,SUSPEK ANTRAX,RAWAT INAP,0,KASUS,2021
85,169,35,JAWA TIMUR,2021-04,SUSPEK LEPTOSPIROSIS,IGD,0,KASUS,2021
85,170,35,JAWA TIMUR,2021-04,SUSPEK LEPTOSPIROSIS,RAWAT INAP,0,KASUS,2021
86,171,35,JAWA TIMUR,2021-04,SUSPEK KOLERA,IGD,0,KASUS,2021
86,172,35,JAWA TIMUR,2021-04,SUSPEK KOLERA,RAWAT INAP,0,KASUS,2021
87,173,35,JAWA TIMUR,2021-04,KLUSTER PENYAKIT YANG TIDAK LAZIM,IGD,0,KASUS,2021
87,174,35,JAWA TIMUR,2021-04,KLUSTER PENYAKIT YANG TIDAK LAZIM,RAWAT INAP,0,KASUS,2021
88,175,35,JAWA TIMUR,2021-04,SUSPEK MENINGITIS/ENCEPHALITIS,IGD,0,KASUS,2021
88,176,35,JAWA TIMUR,2021-04,SUSPEK MENINGITIS/ENCEPHALITIS,RAWAT INAP,0,KASUS,2021
89,177,35,JAWA TIMUR,2021-04,SUSPEK TETANUS NEONATORUM,IGD,0,KASUS,2021
89,178,35,JAWA TIMUR,2021-04,SUSPEK TETANUS NEONATORUM,RAWAT INAP,0,KASUS,2021
90,179,35,JAWA TIMUR,2021-04,SUSPEK TETANUS,IGD,0,KASUS,2021
90,180,35,JAWA TIMUR,2021-04,SUSPEK TETANUS,RAWAT INAP,0,KASUS,2021
91,181,35,JAWA TIMUR,2021-04,ILI (PENYAKIT SERUPA INFLUENZA),IGD,0,KASUS,2021
91,182,35,JAWA TIMUR,2021-04,ILI (PENYAKIT SERUPA INFLUENZA),RAWAT INAP,0,KASUS,2021
92,183,35,JAWA TIMUR,2021-04,SUSPEK HFMD (HAND FOOT MOUTH DISEASE),IGD,0,KASUS,2021
92,184,35,JAWA TIMUR,2021-04,SUSPEK HFMD (HAND FOOT MOUTH DISEASE),RAWAT INAP,0,KASUS,2021
93,185,35,JAWA TIMUR,2021-05,DIARE AKUT,IGD,27,KASUS,2021
93,186,35,JAWA TIMUR,2021-05,DIARE AKUT,RAWAT INAP,35,KASUS,2021
94,187,35,JAWA TIMUR,2021-05,MALARIA KONFIRMASI,IGD,0,KASUS,2021
94,188,35,JAWA TIMUR,2021-05,MALARIA KONFIRMASI,RAWAT INAP,0,KASUS,2021
95,189,35,JAWA TIMUR,2021-05,SUSPEK DENGUE,IGD,16,KASUS,2021
95,190,35,JAWA TIMUR,2021-05,SUSPEK DENGUE,RAWAT INAP,42,KASUS,2021
96,191,35,JAWA TIMUR,2021-05,PNEMONIA,IGD,13,KASUS,2021
96,192,35,JAWA TIMUR,2021-05,PNEMONIA,RAWAT INAP,14,KASUS,2021
97,193,35,JAWA TIMUR,2021-05,DIARE BERDARAH/ DISENTRI,IGD,0,KASUS,2021
97,194,35,JAWA TIMUR,2021-05,DIARE BERDARAH/ DISENTRI,RAWAT INAP,0,KASUS,2021
98,195,35,JAWA TIMUR,2021-05,SUSPEK DEMAM TIFOID,IGD,3,KASUS,2021
98,196,35,JAWA TIMUR,2021-05,SUSPEK DEMAM TIFOID,RAWAT INAP,9,KASUS,2021
99,197,35,JAWA TIMUR,2021-05,SINDROM JAUNDICE AKUT,IGD,52,KASUS,2021
99,198,35,JAWA TIMUR,2021-05,SINDROM JAUNDICE AKUT,RAWAT INAP,6,KASUS,2021
100,199,35,JAWA TIMUR,2021-05,SUSPEK CHIKUNGUNYA,IGD,0,KASUS,2021
100,200,35,JAWA TIMUR,2021-05,SUSPEK CHIKUNGUNYA,RAWAT INAP,0,KASUS,2021
101,201,35,JAWA TIMUR,2021-05,SUSPEK FLU BURUNG PADA MANUSIA,IGD,0,KASUS,2021
101,202,35,JAWA TIMUR,2021-05,SUSPEK FLU BURUNG PADA MANUSIA,RAWAT INAP,0,KASUS,2021
102,203,35,JAWA TIMUR,2021-05,SUSPEK CAMPAK,IGD,0,KASUS,2021
102,204,35,JAWA TIMUR,2021-05,SUSPEK CAMPAK,RAWAT INAP,0,KASUS,2021
103,205,35,JAWA TIMUR,2021-05,SUSPEK DIFTERI,IGD,0,KASUS,2021
103,206,35,JAWA TIMUR,2021-05,SUSPEK DIFTERI,RAWAT INAP,0,KASUS,2021
104,207,35,JAWA TIMUR,2021-05,PERTUSSIS,IGD,0,KASUS,2021
104,208,35,JAWA TIMUR,2021-05,PERTUSSIS,RAWAT INAP,0,KASUS,2021
105,209,35,JAWA TIMUR,2021-05,ACUTE FLACID PARALYSIS (AFP),IGD,0,KASUS,2021
105,210,35,JAWA TIMUR,2021-05,ACUTE FLACID PARALYSIS (AFP),RAWAT INAP,0,KASUS,2021
106,211,35,JAWA TIMUR,2021-05,GIGITAN HEWAN PENULAR RABIES,IGD,0,KASUS,2021
106,212,35,JAWA TIMUR,2021-05,GIGITAN HEWAN PENULAR RABIES,RAWAT INAP,0,KASUS,2021
107,213,35,JAWA TIMUR,2021-05,SUSPEK ANTRAX,IGD,0,KASUS,2021
107,214,35,JAWA TIMUR,2021-05,SUSPEK ANTRAX,RAWAT INAP,0,KASUS,2021
108,215,35,JAWA TIMUR,2021-05,SUSPEK LEPTOSPIROSIS,IGD,0,KASUS,2021
108,216,35,JAWA TIMUR,2021-05,SUSPEK LEPTOSPIROSIS,RAWAT INAP,0,KASUS,2021
109,217,35,JAWA TIMUR,2021-05,SUSPEK KOLERA,IGD,0,KASUS,2021
109,218,35,JAWA TIMUR,2021-05,SUSPEK KOLERA,RAWAT INAP,0,KASUS,2021
110,219,35,JAWA TIMUR,2021-05,KLUSTER PENYAKIT YANG TIDAK LAZIM,IGD,0,KASUS,2021
110,220,35,JAWA TIMUR,2021-05,KLUSTER PENYAKIT YANG TIDAK LAZIM,RAWAT INAP,0,KASUS,2021
111,221,35,JAWA TIMUR,2021-05,SUSPEK MENINGITIS/ENCEPHALITIS,IGD,0,KASUS,2021
111,222,35,JAWA TIMUR,2021-05,SUSPEK MENINGITIS/ENCEPHALITIS,RAWAT INAP,0,KASUS,2021
112,223,35,JAWA TIMUR,2021-05,SUSPEK TETANUS NEONATORUM,IGD,0,KASUS,2021
112,224,35,JAWA TIMUR,2021-05,SUSPEK TETANUS NEONATORUM,RAWAT INAP,0,KASUS,2021
113,225,35,JAWA TIMUR,2021-05,SUSPEK TETANUS,IGD,0,KASUS,2021
113,226,35,JAWA TIMUR,2021-05,SUSPEK TETANUS,RAWAT INAP,0,KASUS,2021
114,227,35,JAWA TIMUR,2021-05,ILI (PENYAKIT SERUPA INFLUENZA),IGD,0,KASUS,2021
114,228,35,JAWA TIMUR,2021-05,ILI (PENYAKIT SERUPA INFLUENZA),RAWAT INAP,0,KASUS,2021
115,229,35,JAWA TIMUR,2021-05,SUSPEK HFMD (HAND FOOT MOUTH DISEASE),IGD,0,KASUS,2021
115,230,35,JAWA TIMUR,2021-05,SUSPEK HFMD (HAND FOOT MOUTH DISEASE),RAWAT INAP,0,KASUS,2021
116,231,35,JAWA TIMUR,2021-06,DIARE AKUT,IGD,12,KASUS,2021
116,232,35,JAWA TIMUR,2021-06,DIARE AKUT,RAWAT INAP,20,KASUS,2021
117,233,35,JAWA TIMUR,2021-06,MALARIA KONFIRMASI,IGD,0,KASUS,2021
117,234,35,JAWA TIMUR,2021-06,MALARIA KONFIRMASI,RAWAT INAP,0,KASUS,2021
118,235,35,JAWA TIMUR,2021-06,SUSPEK DENGUE,IGD,13,KASUS,2021
118,236,35,JAWA TIMUR,2021-06,SUSPEK DENGUE,RAWAT INAP,11,KASUS,2021
119,237,35,JAWA TIMUR,2021-06,PNEMONIA,IGD,7,KASUS,2021
119,238,35,JAWA TIMUR,2021-06,PNEMONIA,RAWAT INAP,4,KASUS,2021
120,239,35,JAWA TIMUR,2021-06,DIARE BERDARAH/ DISENTRI,IGD,0,KASUS,2021
120,240,35,JAWA TIMUR,2021-06,DIARE BERDARAH/ DISENTRI,RAWAT INAP,0,KASUS,2021
121,241,35,JAWA TIMUR,2021-06,SUSPEK DEMAM TIFOID,IGD,3,KASUS,2021
121,242,35,JAWA TIMUR,2021-06,SUSPEK DEMAM TIFOID,RAWAT INAP,0,KASUS,2021
122,243,35,JAWA TIMUR,2021-06,SINDROM JAUNDICE AKUT,IGD,19,KASUS,2021
122,244,35,JAWA TIMUR,2021-06,SINDROM JAUNDICE AKUT,RAWAT INAP,5,KASUS,2021
123,245,35,JAWA TIMUR,2021-06,SUSPEK CHIKUNGUNYA,IGD,0,KASUS,2021
123,246,35,JAWA TIMUR,2021-06,SUSPEK CHIKUNGUNYA,RAWAT INAP,0,KASUS,2021
124,247,35,JAWA TIMUR,2021-06,SUSPEK FLU BURUNG PADA MANUSIA,IGD,0,KASUS,2021
124,248,35,JAWA TIMUR,2021-06,SUSPEK FLU BURUNG PADA MANUSIA,RAWAT INAP,0,KASUS,2021
125,249,35,JAWA TIMUR,2021-06,SUSPEK CAMPAK,IGD,0,KASUS,2021
125,250,35,JAWA TIMUR,2021-06,SUSPEK CAMPAK,RAWAT INAP,0,KASUS,2021
126,251,35,JAWA TIMUR,2021-06,SUSPEK DIFTERI,IGD,0,KASUS,2021
126,252,35,JAWA TIMUR,2021-06,SUSPEK DIFTERI,RAWAT INAP,0,KASUS,2021
127,253,35,JAWA TIMUR,2021-06,PERTUSSIS,IGD,0,KASUS,2021
127,254,35,JAWA TIMUR,2021-06,PERTUSSIS,RAWAT INAP,0,KASUS,2021
128,255,35,JAWA TIMUR,2021-06,ACUTE FLACID PARALYSIS (AFP),IGD,0,KASUS,2021
